entry,run,subrun,event,label,prediction,probability,kaon_ke,proton_ke,muon_ke
79,1,96,9527,0,0,0.999998,0.609189,-1,-1
80,1,43,4250,0,0,1,0.607011,-1,-1
81,1,53,5240,1,1,0.999971,-1,1.13706,0.257087
82,1,87,8631,0,0,1,0.572957,-1,-1
83,1,51,5067,0,0,1,0.632022,-1,-1
84,1,85,8430,1,1,0.998095,-1,1.00688,0.301426
85,1,28,2742,0,0,1,0.60571,-1,-1
86,1,61,6018,0,0,0.999999,0.561666,-1,-1
87,1,17,1654,1,1,0.684461,-1,0.992081,0.276449
88,1,18,1707,0,0,0.999952,0.621277,-1,-1
89,1,99,9861,0,0,0.935924,0.504952,-1,-1
90,1,20,1909,0,0,1,0.605375,-1,-1
91,1,80,7916,1,1,0.999186,-1,1.01338,0.343489
92,1,78,7785,0,0,1,0.568876,-1,-1
93,1,43,4241,0,0,1,0.559562,-1,-1
94,1,2,161,1,1,0.999997,-1,1.09156,0.298237
95,1,52,5131,1,1,0.987581,-1,1.07186,0.318439
96,1,31,3042,0,0,0.999999,0.505507,-1,-1
97,1,74,7330,1,1,0.999507,-1,1.11112,0.294552
98,1,68,6706,1,1,0.972412,-1,1.05718,0.230746
99,1,47,4650,0,0,0.99978,0.638749,-1,-1
100,1,57,5621,1,1,0.999156,-1,1.07113,0.321695
101,1,37,3626,1,1,0.999751,-1,1.06639,0.19493
102,1,58,5789,0,0,0.999999,0.520069,-1,-1
103,1,84,8397,0,0,1,0.543452,-1,-1
104,1,91,9067,0,0,1,0.642786,-1,-1
105,1,61,6064,0,0,1,0.559985,-1,-1
106,1,98,9788,1,1,0.976481,-1,1.01486,0.168141
107,1,97,9675,1,0,0.548192,-1,1.06206,0.248323
108,1,37,3681,0,0,1,0.591923,-1,-1
109,1,100,9987,1,1,0.990527,-1,1.04088,0.209958
110,1,75,7495,1,1,0.999995,-1,1.12636,0.295954
111,1,58,5775,1,1,0.999673,-1,1.08806,0.352697
112,1,54,5390,0,0,1,0.517908,-1,-1
113,1,62,6189,0,0,0.999808,0.507373,-1,-1
114,1,49,4884,0,0,1,0.622672,-1,-1
115,1,78,7708,1,1,0.999905,-1,1.0457,0.296606
116,1,94,9356,1,1,0.999978,-1,1.11966,0.163271
117,1,18,1750,0,0,0.999988,0.615884,-1,-1
118,1,79,7833,0,0,0.999996,0.642228,-1,-1
119,1,44,4323,0,0,0.999963,0.562549,-1,-1
120,1,83,8282,1,1,0.999979,-1,1.13201,0.223843
121,1,29,2875,0,0,1,0.511062,-1,-1
122,1,88,8752,0,0,1,0.587386,-1,-1
123,1,80,7996,0,0,1,0.524892,-1,-1
124,1,12,1150,0,0,0.999998,0.516464,-1,-1
125,1,93,9205,1,1,0.999965,-1,1.06254,0.326784
126,1,80,7910,1,1,0.994952,-1,1.05665,0.324596
127,1,39,3893,0,0,1,0.549943,-1,-1
128,1,4,335,0,0,1,0.564517,-1,-1
129,1,93,9208,1,1,0.904615,-1,1.03468,0.222836
130,1,27,2609,1,1,0.999997,-1,1.10471,0.192627
131,1,62,6110,0,0,1,0.527966,-1,-1
132,1,46,4513,1,1,1,-1,1.09215,0.270466
133,1,82,8173,1,1,0.999812,-1,1.00784,0.315078
134,1,20,1925,1,1,0.999292,-1,1.03868,0.175915
135,1,32,3119,0,0,1,0.577177,-1,-1
136,1,32,3132,0,0,1,0.635249,-1,-1
137,1,53,5294,0,0,1,0.626384,-1,-1
138,1,71,7063,1,1,0.999564,-1,1.04029,0.252949
139,1,30,2961,1,1,0.998198,-1,1.1131,0.301063
140,1,19,1836,1,1,0.999998,-1,1.08225,0.166416
141,1,73,7203,0,0,1,0.526186,-1,-1
142,1,79,7870,1,1,0.999981,-1,1.12367,0.193386
143,1,62,6165,1,1,0.999668,-1,1.07434,0.189435
144,1,63,6222,0,0,0.997808,0.536168,-1,-1
145,1,18,1771,1,1,1,-1,1.07728,0.324624
146,1,100,9940,1,1,0.991558,-1,1.03849,0.352199
147,1,64,6343,1,1,0.999977,-1,1.04861,0.185243
148,1,13,1223,0,0,1,0.50718,-1,-1
149,1,61,6014,1,1,0.99983,-1,1.04594,0.336862
150,1,92,9194,1,1,0.999999,-1,1.0728,0.237517
151,1,33,3270,0,0,0.999538,0.590989,-1,-1
152,1,76,7557,1,1,0.96895,-1,1.11398,0.19243
153,1,3,213,0,0,0.999962,0.638217,-1,-1
154,1,66,6582,0,0,0.999999,0.611747,-1,-1
155,1,20,1915,0,0,1,0.508695,-1,-1
156,1,3,228,0,0,0.985428,0.593297,-1,-1
157,1,97,9651,0,0,0.999996,0.517721,-1,-1
158,1,58,5726,0,0,0.999759,0.526296,-1,-1
159,1,95,9461,0,0,1,0.572924,-1,-1
160,1,66,6547,0,0,1,0.555437,-1,-1
161,1,53,5281,1,0,0.803972,-1,1.08139,0.240665
162,1,48,4746,1,1,0.988482,-1,1.06605,0.217113
163,1,29,2873,1,1,0.955953,-1,1.03066,0.276943
164,1,99,9891,0,0,0.998975,0.537359,-1,-1
165,1,73,7212,1,1,0.999996,-1,1.0481,0.197366
166,1,9,900,1,1,0.998853,-1,1.05874,0.347896
167,1,47,4670,0,0,0.988048,0.522238,-1,-1
168,1,74,7373,1,1,0.99948,-1,1.07001,0.336536
169,1,83,8269,1,1,0.999981,-1,1.08595,0.198068
170,1,59,5900,1,1,0.999969,-1,1.08131,0.320224
171,1,44,4324,1,1,0.999008,-1,1.04594,0.284693
172,1,77,7680,0,0,1,0.595739,-1,-1
173,1,73,7247,1,1,1,-1,1.07513,0.231256
174,1,46,4504,1,1,0.999892,-1,1.072,0.287919
175,1,22,2130,0,0,1,0.505721,-1,-1
176,1,31,3060,0,0,1,0.611896,-1,-1
177,1,27,2617,1,1,0.999991,-1,0.997642,0.212708
178,1,31,3080,1,1,0.999999,-1,1.13697,0.215642
179,1,41,4052,0,0,1,0.61741,-1,-1
180,1,56,5593,0,0,1,0.519708,-1,-1
181,1,42,4118,0,0,1,0.509647,-1,-1
182,1,68,6798,1,1,0.999858,-1,1.10617,0.29942
183,1,11,1095,1,0,0.864383,-1,1.01497,0.242904
184,1,89,8820,1,1,0.999507,-1,1.13732,0.3356
185,1,69,6807,1,1,0.999995,-1,1.09721,0.198778
186,1,6,562,1,1,0.999997,-1,1.07828,0.251981
187,1,60,5924,1,1,0.997653,-1,1.11162,0.254539
188,1,75,7437,0,0,0.999981,0.550635,-1,-1
189,1,17,1613,0,0,0.999972,0.545871,-1,-1
190,1,24,2388,1,1,0.999999,-1,1.11677,0.20268
191,1,97,9642,1,1,0.998888,-1,1.04315,0.168503
192,1,19,1872,1,1,0.999997,-1,1.11506,0.334474
193,1,46,4561,1,1,0.990731,-1,0.996066,0.179489
194,1,32,3170,0,0,0.999366,0.595887,-1,-1
195,1,39,3809,0,0,1,0.522551,-1,-1
196,1,81,8074,1,1,0.99843,-1,1.00133,0.326107
197,1,27,2662,1,1,0.999998,-1,1.13474,0.348542
198,1,5,491,1,1,0.967627,-1,1.07546,0.275846
199,1,19,1863,1,1,0.993097,-1,0.993958,0.309514
200,1,3,264,1,1,0.997763,-1,1.02547,0.278501
201,1,40,3979,0,0,1,0.567187,-1,-1
202,1,24,2400,1,1,0.999928,-1,1.01016,0.318345
203,1,71,7007,1,1,0.998011,-1,0.998564,0.188939
204,1,49,4863,1,1,0.999969,-1,1.06144,0.307863
205,1,25,2447,0,0,0.99999,0.605695,-1,-1
206,1,84,8339,1,1,0.999999,-1,1.11377,0.271658
207,1,69,6890,1,1,0.999979,-1,1.07131,0.333757
208,1,38,3779,1,1,0.915444,-1,1.05091,0.26458
209,1,95,9407,1,1,0.999211,-1,1.10635,0.326444
210,1,94,9368,0,0,1,0.583554,-1,-1
211,1,18,1762,1,1,0.965844,-1,1.08523,0.283456
212,1,79,7822,1,1,0.999998,-1,1.0126,0.191594
213,1,27,2622,0,0,0.998762,0.549771,-1,-1
214,1,72,7116,1,1,1,-1,1.13524,0.161624
215,1,68,6738,1,1,0.995421,-1,1.0958,0.178984
216,1,46,4572,0,0,0.999858,0.578222,-1,-1
217,1,19,1879,0,0,1,0.591026,-1,-1
218,1,57,5691,1,1,0.999897,-1,1.04079,0.235888
219,1,13,1221,1,1,0.999829,-1,1.11331,0.213886
220,1,52,5196,1,1,0.625494,-1,1.01421,0.311326
221,1,81,8014,1,1,0.996572,-1,1.00689,0.312982
222,1,87,8610,1,1,0.999999,-1,1.05466,0.205739
223,1,21,2080,1,1,0.999961,-1,0.996934,0.162121
224,1,82,8121,0,0,1,0.561391,-1,-1
225,1,39,3835,1,1,0.996267,-1,1.06216,0.16141
226,1,78,7760,0,0,0.999898,0.609811,-1,-1
227,1,11,1069,1,1,0.999903,-1,1.00873,0.169406
228,1,63,6225,0,0,0.99999,0.51764,-1,-1
229,1,78,7764,0,0,0.993832,0.563508,-1,-1
230,1,31,3002,0,0,1,0.617765,-1,-1
231,1,21,2049,1,1,0.94589,-1,1.09987,0.22111
232,1,68,6727,1,1,0.987916,-1,1.02824,0.156776
233,1,90,8964,0,0,0.999995,0.539259,-1,-1
234,1,33,3272,0,0,0.862153,0.641014,-1,-1
235,1,76,7527,1,1,0.999716,-1,1.02187,0.33207
236,1,70,6920,1,1,0.999018,-1,1.00607,0.300027
237,1,81,8056,1,1,0.999489,-1,1.09329,0.186247
238,1,34,3387,1,1,0.96107,-1,1.05792,0.354319
239,1,5,489,0,0,1,0.570547,-1,-1
240,1,26,2555,1,1,0.999936,-1,1.10593,0.241014
241,1,82,8151,0,0,1,0.525901,-1,-1
242,1,3,222,1,1,0.761205,-1,1.09005,0.221498
243,1,38,3798,1,1,0.999515,-1,1.12836,0.345699
244,1,71,7031,1,1,0.998722,-1,0.999176,0.166876
245,1,100,9937,0,0,0.999984,0.637212,-1,-1
246,1,25,2479,1,1,0.999347,-1,1.12731,0.273769
247,1,20,1907,1,1,0.999794,-1,1.00356,0.333069
248,1,85,8487,0,0,1,0.621025,-1,-1
249,1,25,2431,1,1,0.998105,-1,0.993464,0.186775
250,1,75,7477,0,0,1,0.622,-1,-1
251,1,97,9669,1,1,1,-1,1.08727,0.240874
252,1,77,7661,0,0,0.989524,0.542979,-1,-1
253,1,68,6725,1,1,0.999857,-1,1.07127,0.2014
254,1,19,1850,1,1,0.999958,-1,1.05772,0.291429
255,1,99,9842,1,1,0.999985,-1,1.01889,0.248493
256,1,13,1289,1,1,0.999826,-1,1.06633,0.217639
257,1,46,4565,0,0,1,0.562531,-1,-1
258,1,84,8367,0,0,0.997691,0.547965,-1,-1
259,1,73,7282,1,1,0.978152,-1,1.04739,0.214545
260,1,52,5128,1,1,1,-1,1.10235,0.322627
261,1,9,850,1,1,0.999964,-1,1.09571,0.261088
262,1,31,3088,1,1,1,-1,1.11189,0.272256
263,1,99,9854,0,0,0.999997,0.593892,-1,-1
264,1,72,7172,0,0,1,0.557922,-1,-1
265,1,38,3767,0,0,0.999998,0.545424,-1,-1
266,1,26,2524,0,0,0.999999,0.626175,-1,-1
267,1,11,1034,0,0,0.983161,0.626454,-1,-1
268,1,93,9205,0,0,0.999975,0.613176,-1,-1
269,1,15,1463,0,0,1,0.53363,-1,-1
270,1,15,1485,1,1,0.999955,-1,1.12979,0.16911
271,1,9,814,1,1,1,-1,1.13674,0.198836
272,1,53,5247,0,0,1,0.597296,-1,-1
273,1,22,2165,1,1,0.999996,-1,1.00498,0.338901
274,1,24,2332,1,1,0.715464,-1,1.05991,0.256009
275,1,59,5862,1,1,0.99998,-1,1.09466,0.226623
276,1,5,422,1,1,0.999872,-1,1.12042,0.201316
277,1,8,738,1,1,0.998672,-1,1.05507,0.199081
278,1,4,378,1,1,0.999525,-1,1.13723,0.264564
279,1,22,2149,1,1,0.965824,-1,1.00158,0.161735
280,1,90,8982,1,1,0.999254,-1,0.995806,0.213766
281,1,75,7444,1,1,0.99999,-1,1.04229,0.315074
282,1,31,3012,0,0,0.999995,0.641285,-1,-1
283,1,26,2546,1,1,0.986844,-1,1.0038,0.205644
284,1,52,5156,0,0,0.999672,0.568062,-1,-1
285,1,62,6134,0,0,1,0.571397,-1,-1
286,1,84,8366,1,1,0.99999,-1,1.07754,0.248481
287,1,79,7852,0,0,1,0.553807,-1,-1
288,1,47,4660,0,0,1,0.536891,-1,-1
289,1,61,6079,1,1,0.999987,-1,1.08249,0.2588
290,1,35,3416,0,0,1,0.510847,-1,-1
291,1,51,5060,0,0,1,0.556073,-1,-1
292,1,21,2098,1,1,0.999361,-1,1.08045,0.158159
293,1,97,9619,0,0,0.989931,0.597213,-1,-1
294,1,94,9375,1,1,0.998498,-1,1.04023,0.353701
295,1,76,7596,0,0,1,0.614571,-1,-1
296,1,29,2882,0,0,1,0.620999,-1,-1
297,1,28,2779,0,0,1,0.505709,-1,-1
298,1,67,6619,0,0,1,0.533785,-1,-1
299,1,1,95,0,0,1,0.637177,-1,-1
300,1,43,4265,1,1,1,-1,1.13466,0.227985
301,1,41,4005,0,0,0.999994,0.541433,-1,-1
302,1,22,2126,0,0,1,0.60969,-1,-1
303,1,72,7110,0,0,0.997291,0.587599,-1,-1
304,1,33,3245,1,1,0.991992,-1,0.993488,0.244087
305,1,45,4428,0,0,1,0.637042,-1,-1
306,1,76,7505,0,0,0.999974,0.534458,-1,-1
307,1,83,8284,0,0,1,0.557657,-1,-1
308,1,24,2321,0,0,1,0.603509,-1,-1
309,1,52,5182,1,1,0.996874,-1,1.07165,0.25485
310,1,9,824,1,1,0.99922,-1,1.03952,0.189959
311,1,79,7881,0,0,0.999879,0.532516,-1,-1
312,1,47,4601,1,1,0.999997,-1,1.0667,0.198574
313,1,14,1327,1,1,0.999673,-1,1.12523,0.295363
314,1,50,4999,1,1,0.999975,-1,1.10504,0.294382
315,1,80,7998,1,1,1,-1,1.10282,0.224771
316,1,87,8684,1,1,0.995431,-1,1.05798,0.33569
317,1,12,1184,0,0,1,0.506351,-1,-1
318,1,4,371,0,0,0.982464,0.604231,-1,-1
319,1,9,850,0,0,1,0.576306,-1,-1
320,1,14,1319,0,0,0.999914,0.596292,-1,-1
321,1,7,652,1,1,0.999997,-1,1.0582,0.179182
322,1,75,7461,1,1,0.999979,-1,1.12029,0.159676
323,1,53,5223,1,1,0.999999,-1,1.09323,0.331951
324,1,48,4784,0,0,0.999961,0.620619,-1,-1
325,1,82,8128,0,0,1,0.63888,-1,-1
326,1,29,2818,0,0,1,0.553372,-1,-1
327,1,58,5761,1,1,0.999707,-1,0.994946,0.325182
328,1,2,151,0,0,1,0.555006,-1,-1
329,1,36,3538,1,1,0.998628,-1,1.00612,0.303172
330,1,57,5629,1,1,0.999996,-1,1.11881,0.162732
331,1,34,3301,0,0,0.999998,0.607619,-1,-1
332,1,49,4881,0,0,1,0.589749,-1,-1
333,1,37,3688,1,1,0.999977,-1,1.09413,0.175989
334,1,55,5402,0,0,0.99991,0.636869,-1,-1
335,1,53,5219,0,0,0.999997,0.585363,-1,-1
336,1,47,4662,1,1,0.982097,-1,1.01485,0.286367
337,1,9,851,1,1,1,-1,1.12556,0.239928
338,1,66,6529,1,1,0.893619,-1,1.00966,0.262405
339,1,10,947,1,1,1,-1,1.05328,0.283919
340,1,14,1315,1,1,0.998755,-1,1.0457,0.242425
341,1,14,1388,1,1,0.999997,-1,1.0862,0.317773
342,1,40,3934,0,0,0.998122,0.609379,-1,-1
343,1,97,9650,0,0,0.996257,0.581886,-1,-1
344,1,12,1134,1,1,0.999905,-1,1.11015,0.181346
345,1,30,2999,1,1,0.999999,-1,1.11558,0.166572
346,1,92,9177,1,1,0.992576,-1,1.11383,0.287359
347,1,55,5418,1,1,1,-1,1.11503,0.283162
348,1,88,8717,0,0,0.999845,0.530361,-1,-1
349,1,53,5284,0,0,0.999597,0.564411,-1,-1
350,1,98,9761,0,0,1,0.567686,-1,-1
351,1,8,718,1,1,1,-1,1.1324,0.213423
352,1,38,3774,1,1,0.999362,-1,1.03177,0.291097
353,1,39,3871,0,0,0.970784,0.575881,-1,-1
354,1,69,6857,0,0,0.999973,0.574162,-1,-1
355,1,90,8956,0,0,1,0.573102,-1,-1
356,1,88,8728,0,0,1,0.624654,-1,-1
357,1,23,2279,0,0,1,0.596052,-1,-1
358,1,92,9104,0,0,1,0.630698,-1,-1
359,1,33,3251,0,0,0.999874,0.577446,-1,-1
360,1,45,4459,1,1,0.999959,-1,1.00961,0.187161
361,1,22,2127,1,1,0.997493,-1,1.00941,0.170032
362,1,23,2256,0,0,1,0.527634,-1,-1
363,1,58,5753,0,0,1,0.574058,-1,-1
364,1,94,9305,0,0,1,0.566642,-1,-1
365,1,42,4191,1,1,0.997458,-1,1.0226,0.259164
366,1,55,5495,1,1,0.998973,-1,1.06653,0.181437
367,1,43,4294,0,0,0.999986,0.54381,-1,-1
368,1,1,27,1,1,0.998157,-1,1.06466,0.239706
369,1,21,2052,1,1,1,-1,1.06229,0.230173
370,1,63,6205,0,0,0.990192,0.538268,-1,-1
371,1,7,621,1,1,1,-1,1.06249,0.328998
372,1,43,4249,0,0,1,0.621807,-1,-1
373,1,47,4610,0,0,1,0.603649,-1,-1
374,1,65,6467,0,0,1,0.53842,-1,-1
375,1,77,7645,0,0,0.999201,0.604079,-1,-1
376,1,11,1027,0,0,0.995862,0.590303,-1,-1
377,1,21,2068,1,1,0.769484,-1,1.13352,0.242897
378,1,6,547,0,0,0.999996,0.50752,-1,-1
379,1,92,9173,0,0,1,0.5682,-1,-1
380,1,44,4339,0,0,1,0.632963,-1,-1
381,1,78,7717,1,1,0.999737,-1,1.00153,0.180654
382,1,53,5259,1,1,0.986251,-1,1.05009,0.326405
383,1,52,5103,1,1,0.999956,-1,1.02658,0.166249
384,1,21,2027,1,1,0.999114,-1,1.01224,0.292515
385,1,53,5234,1,1,1,-1,1.11803,0.247397
386,1,10,945,1,1,0.999987,-1,1.00712,0.342981
387,1,56,5596,1,1,0.995555,-1,1.02075,0.269093
388,1,43,4297,1,1,0.942375,-1,1.01927,0.251759
389,1,98,9774,1,1,0.999949,-1,1.07571,0.313898
390,1,63,6296,1,1,0.999866,-1,0.995758,0.322583
391,1,42,4156,0,0,0.999994,0.628453,-1,-1
392,1,52,5110,0,0,0.5,0.608992,-1,-1
393,1,78,7770,0,0,1,0.603743,-1,-1
394,1,42,4139,0,0,0.986342,0.631007,-1,-1
395,1,95,9408,1,1,0.572847,-1,1.03883,0.345658
396,1,24,2321,1,1,0.999999,-1,1.08592,0.327211
397,1,68,6730,0,0,0.999614,0.597627,-1,-1
398,1,28,2796,0,0,1,0.606297,-1,-1
399,1,80,7968,1,1,0.999299,-1,1.03416,0.294927
400,1,85,8480,0,0,0.564078,0.525502,-1,-1
401,1,63,6273,0,0,1,0.545097,-1,-1
402,1,92,9146,1,1,0.997934,-1,1.03462,0.260743
403,1,99,9885,1,1,0.999924,-1,1.02158,0.195575
404,1,97,9628,1,1,0.980803,-1,0.994696,0.175795
405,1,33,3228,1,1,0.965737,-1,0.993223,0.196268
406,1,46,4517,1,1,1,-1,1.06448,0.349991
407,1,47,4616,1,1,0.998998,-1,1.05262,0.162571
408,1,20,1904,1,1,0.999999,-1,1.09879,0.226759
409,1,62,6131,1,1,1,-1,1.11034,0.338212
410,1,35,3432,1,1,0.998113,-1,1.04055,0.228293
411,1,16,1591,0,0,0.5,0.599695,-1,-1
412,1,27,2664,1,1,0.999836,-1,1.09051,0.331591
413,1,20,1953,0,0,0.997089,0.590529,-1,-1
414,1,47,4633,1,1,0.998911,-1,1.09584,0.162265
415,1,3,202,1,1,1,-1,1.1196,0.24093
416,1,90,8932,0,0,1,0.531872,-1,-1
417,1,74,7305,1,1,0.999975,-1,1.09704,0.168027
418,1,82,8171,1,1,0.999989,-1,1.04549,0.343384
419,1,79,7842,0,0,1,0.512863,-1,-1
420,1,58,5746,0,0,1,0.569225,-1,-1
421,1,69,6875,1,1,0.999993,-1,1.07929,0.188938
422,1,79,7879,0,0,1,0.519218,-1,-1
423,1,31,3084,0,0,1,0.537624,-1,-1
424,1,61,6013,0,0,1,0.545335,-1,-1
425,1,32,3128,0,0,1,0.613733,-1,-1
426,1,53,5222,1,1,0.999934,-1,1.01076,0.178952
427,1,18,1753,0,0,1,0.506595,-1,-1
428,1,28,2789,1,1,0.993634,-1,1.09951,0.226725
429,1,59,5844,1,1,0.99939,-1,1.06103,0.177536
430,1,44,4335,1,1,0.999923,-1,1.11798,0.155756
431,1,43,4222,1,1,0.993163,-1,1.01503,0.276554
432,1,20,1905,0,0,1,0.631593,-1,-1
433,1,30,2978,1,1,0.598013,-1,1.07214,0.336954
434,1,33,3244,1,1,0.979807,-1,1.11047,0.355143
435,1,66,6549,1,1,0.993334,-1,1.03662,0.354447
436,1,21,2011,1,1,0.999857,-1,1.03808,0.269964
437,1,25,2462,1,1,0.964442,-1,0.995958,0.219195
438,1,34,3343,0,0,1,0.583756,-1,-1
439,1,76,7576,1,1,0.999998,-1,1.04989,0.233103
440,1,86,8584,1,1,0.999994,-1,1.09062,0.210476
441,1,72,7181,0,0,1,0.570864,-1,-1
442,1,54,5303,1,1,0.999995,-1,1.0889,0.186598
443,1,57,5602,1,1,0.998569,-1,1.03716,0.304903
444,1,16,1509,0,0,1,0.530746,-1,-1
445,1,51,5033,1,1,0.99683,-1,1.06211,0.277295
446,1,7,651,0,0,0.999998,0.555403,-1,-1
447,1,88,8794,1,1,0.999803,-1,1.01908,0.302943
448,1,47,4681,1,1,0.999681,-1,1.13184,0.204429
449,1,95,9402,0,0,0.999999,0.599725,-1,-1
450,1,76,7558,0,0,0.999989,0.5256,-1,-1
451,1,83,8279,0,0,1,0.607258,-1,-1
452,1,18,1737,1,1,0.999544,-1,1.00577,0.178673
453,1,53,5259,0,0,1,0.573449,-1,-1
454,1,47,4676,1,1,0.99994,-1,1.11708,0.241622
455,1,37,3601,1,1,0.999961,-1,1.08344,0.278007
456,1,27,2647,0,0,0.998784,0.598482,-1,-1
457,1,81,8041,0,0,0.859304,0.585481,-1,-1
458,1,48,4709,0,0,1,0.510491,-1,-1
459,1,88,8773,1,1,0.999897,-1,1.04676,0.300706
460,1,35,3457,1,1,0.998888,-1,1.04484,0.206853
461,1,54,5383,0,0,1,0.510575,-1,-1
462,1,10,945,0,0,0.999997,0.570339,-1,-1
463,1,80,7942,1,1,1,-1,1.09514,0.172363
464,1,18,1791,1,1,1,-1,1.1303,0.274521
465,1,90,8938,0,0,1,0.564841,-1,-1
466,1,73,7255,1,1,0.999996,-1,1.12358,0.300217
467,1,94,9363,0,0,0.999796,0.542963,-1,-1
468,1,56,5553,0,0,0.999988,0.612148,-1,-1
469,1,91,9036,0,0,0.998842,0.570708,-1,-1
470,1,16,1587,1,1,0.851524,-1,1.02335,0.226505
471,1,56,5557,0,0,0.999987,0.568168,-1,-1
472,1,33,3264,0,0,0.999862,0.633293,-1,-1
473,1,81,8060,1,1,0.99997,-1,1.07477,0.325954
474,1,3,252,0,0,0.998114,0.55492,-1,-1
475,1,67,6637,0,0,1,0.608409,-1,-1
476,1,6,582,0,0,1,0.569448,-1,-1
477,1,72,7157,0,0,1,0.584433,-1,-1
478,1,60,5937,1,1,0.999868,-1,1.02213,0.171445
